,level_0,index,0,Unidade
0,0,Corrente do motor - Fase A,3.597249058842185e-05,A
1,1,Corrente do motor - Fase B,3.597249058842185e-05,A
2,2,Corrente do motor - Fase C,3.597249058842185e-05,A
3,3,Frequência do AVV,3.597249058842185e-05,Hz
4,4,Temperatura do motor da BCS,0.10207451150826045,ºC
5,5,Pressão diferencial da BCS,3.597249058842185e-05,Bar
6,6,Pressão na Entrada da BCS,0.08019295937604613,Bar
7,7,Fração de água @ 20degC - 1 atm,0.10043739612025677,%
8,8,Temperatura na Entrada da BCS,0.07892364435099754,ºC
9,9,Pressão de Descarga da BCS,0.07908735588979791,Bar
10,10,Sensor de temperatura na descarga da BCS,0.24416291280268282,ºC
11,11,Abertura da Válvula,0.008370578320187469,%
12,12,Pressão na Cabeça do Poço,0.008370578320187469,Bar
13,13,Temperatura na Cabeça do Poço,0.008370578320187469,ºC
14,14,Poço Alinhado a A,0.008370578320187469,bool
15,15,Poço Alinhado a b,0.5526167417439464,bool
16,16,Tensão do Motor da BCS,3.597249058842185e-05,V
17,17,Vibração da BCS em X,0.006132942579095431,g
18,18,Vibração da BCS em Y,0.006132942579095431,g
19,19,Corrida do Poço,0.0,str
20,20,Poço desativado,0.0,str
